,0,1,2,3
0,"{'pt': 10, 'idx': 0}","{'pt': 4, 'idx': 1}","{'pt': 3, 'idx': 2}","{'pt': 8, 'idx': 3}"
1,"{'pt': 4, 'idx': 0}","{'pt': 0, 'idx': 1}","{'pt': 11, 'idx': 2}","{'pt': 1, 'idx': 3}"
2,"{'pt': 4, 'idx': 0}","{'pt': 1, 'idx': 1}","{'pt': 2, 'idx': 2}","{'pt': 1, 'idx': 3}"
3,"{'pt': 6, 'idx': 0}","{'pt': 10, 'idx': 1}","{'pt': 2, 'idx': 2}","{'pt': 5, 'idx': 3}"
4,"{'pt': 0, 'idx': 0}","{'pt': 13, 'idx': 1}","{'pt': 4, 'idx': 2}","{'pt': 10, 'idx': 3}"
5,"{'pt': 14, 'idx': 0}","{'pt': 3, 'idx': 1}","{'pt': 8, 'idx': 2}","{'pt': 4, 'idx': 3}"
6,"{'pt': 11, 'idx': 0}","{'pt': 10, 'idx': 1}","{'pt': 14, 'idx': 2}","{'pt': 8, 'idx': 3}"
7,"{'pt': 1, 'idx': 0}","{'pt': 3, 'idx': 1}","{'pt': 15, 'idx': 2}","{'pt': 8, 'idx': 3}"
8,"{'pt': 2, 'idx': 0}","{'pt': 3, 'idx': 1}","{'pt': 14, 'idx': 2}","{'pt': 5, 'idx': 3}"
9,"{'pt': 7, 'idx': 0}","{'pt': 9, 'idx': 1}","{'pt': 9, 'idx': 2}","{'pt': 14, 'idx': 3}"
